"Term_ID
[ENGLISH]



Data Type
Integer","Term
[OPERATING LANGUAGE]



Data Type
Character String","Term_Abbreviation
[OPERATING LANGUAGE]


Data Type
Character String

Note - Only if an accepted abbreviation exists","Country code
[ENGLISH]



Data Type
Character String

Note - Only when identifying a national term equivalent","Definition
[OPERATING LANGUAGE]



Data Type
Character String","Term
[OPERATING LANGUAGE - ALTERNATIVE CHARACTER SET]

Data Type
Character String

Note - This field contains the term 
in the operating language but using 
an alternative character set 
(For example, terms written in Korean 
but with Chinese characters). 
Its use is optional. ","Term in English
[ENGLISH]



Data Type
Character String","Entry Status
[OPERATING LANGUAGE]



Data Type
Must be one of 
'notValid'
'valid'
'superseded'
'retired'.","Term Clasification
[OPERATING LANGUAGE]


Data Type
Character String
Must be one of the following
'preferred'
'admitted'
'deprecated'","Review Indicator
[OPERATING LANGUAGE]



Data Type
Character String
Values = empty field or 'Under Review 
in Source Standard')","Authoritative Source
[ENGLISH]


Data Type
Character String","Similarity to Authoritative Source
[ENGLISH]


Data Type
Integer
Must be one of the 
following codes
'identical' = 1
'restyled' = 2
'context added' = 3
'generalisation' = 4
'specialisation' = 5
'unspecified' = 6","Lineage Source
[OPERATING LANGUAGE]


Data Type
Character String","Similarity to Lineage Source
[OPERATING LANGUAGE]

Data Type
Integer
Must be one of the 
following codes
'identical' = 1
'restyled' = 2
'context added' = 3
'generalisation' = 4
'specialisation' = 5
'unspecified' = 6
","Term Synonyms
[OPERATING LANGUAGE]


Data Type
Character String","Date Accepted
[ENGLISH]


Data Type
Date
yyyy-mm-dd","Date Amended
[ENGLISH]


Data Type
Date
yyyy-mm-dd","Review
Date
[ENGLISH]


Data Type
Date
yyyy-mm-dd","Review Status
[OPERATING LANGUAGE]


Data Type
Character String
Must be one of 
'pending'
'tentative'
'final'","Review Type
[OPERATING LANGUAGE]


Data Type
Character String
Must be one of
'supersession', 
'retirement'","Review
Decision
[OPERATING LANGUAGE]

Data Type
Character String
Must be one of
'withdrawn', 
'accepted'
'notAccepted'","Review Decision
Date
[OPERATING LANGUAGE]

Data Type
Date
yyyy-mm-dd","Review Decision
Event
[OPERATING LANGUAGE]

Data Type
Character String","Review Decision
Notes
[OPERATING LANGUAGE]

Data Type
Character String
","Example_1
[OPERATING LANGUAGE]



Data Type
Character String","Note_1
[OPERATING LANGUAGE]



Data Type
Character String","Example_2
[OPERATING LANGUAGE]



Data Type
Character String","Note_2
[OPERATING LANGUAGE]



Data Type
Character String","Example_3
[OPERATING LANGUAGE]



Data Type
Character String","Note_3
[OPERATING LANGUAGE]



Data Type
Character String","Example_4
[OPERATING LANGUAGE]



Data Type
Character String","Note_4
[OPERATING LANGUAGE]



Data Type
Character String","Example_5
[OPERATING LANGUAGE]



Data Type
Character String","Note_5
[OPERATING LANGUAGE]



Data Type
Character String","Example_6
[OPERATING LANGUAGE]



Data Type
Character String","Note_6
[OPERATING LANGUAGE]



Data Type
Character String","Example_7
[OPERATING LANGUAGE]



Data Type
Character String","Note_7
[OPERATING LANGUAGE]



Data Type
Character String","Example_8
[OPERATING LANGUAGE]



Data Type
Character String","Note_8
[OPERATING LANGUAGE]



Data Type
Character String","Glossary
Release
[ENGLISH]


Data Type
Integer
Must be one of the following codes
'release1' = 1
'release1_retired' = -1
'release2' = 2
'release2_retired' = -2
etc
"
14,응용,,,사용자 요구 사항의 지원을 위한 데이터의 조작 및 처리,,application,valid,preferred,,"ISO 19101-1:2014, 4.1.1",1,ISO 19101:2002,1,,2008-12-30,,2014-11-01,final,,accepted,2014/11/01,Publication of ISO 19101-1:2014,Authoritative reference changed from ISO 19101:2002 to ISO 19101-1:2014. Lineage source added as ISO 19101:2002.,,,,,,,,,,,,,,,,,1
15,응용 스키마,,,하나 이상의 응용에서 요구되는 데이터의 개념적 스키마,,application schema,valid,preferred,,"ISO 19101-1:2014, 4.1.2",1,ISO 19101:2002,1,,2008-12-30,,2010-10-12,final,,accepted,2014/11/01,Publication of ISO 19101-1:2014,Authoritative reference changed from ISO 19101:2002 to ISO 19101-1:2014. Lineage source added as ISO 19101:2002.,,,,,,,,,,,,,,,,,1
17,연관 <UML>,,,인스턴스간의 연결을 규정하는 두 개 이상 분류자 간의 의미론적 관계,,association <UML>,valid,preferred,Being considered for supersession in revision of ISO/TS 19103:2005 (ISO/DIS 19103:2013),ISO/IEC 19501,2,"ISO/TS 19103:2005 ,4.2.3",1,,2009-12-29,,2009-08-31,pending,supersession,,,,,,비고: 이진 연관 관계는 정확하게 두 분류자 간의 연관 관계이다.,,,,,,,,,,,,,,,1
18,자세,,,물체의 좌표 체계 축과 외부 좌표 체계 축 사이의 각도를 통해 기술되는 물체의 방향,,attitude,valid,preferred,,ISO 19116:2004,1,KS X ISO 19116,,,2004-11-05,,,,,,,,,,"비고: 측위 서비스의 경우, 보통 항공기, 배, 자동차 등 사용자 플랫폼의 방향을 의미한다.",,,,,,,,,,,,,,,
20,속성 <UML>,,,분류자의 특성으로 분류자의 인스턴스가 가질 수 있는 값의 범위를 기술,,attribute <UML>,valid,preferred,,ISO/IEC 19501:2005 (Adapted from),2,KS X ISO 19103,,,2009-12-29,,,,,,,,,,비고 1: 속성은 의미적으로 합성 연관과 동일하다. 그러나 의미와 용법은 일반적으로 다르다. ,,비고 2: 정의에 사용된 “특성(Feature)”은 KS X ISO 19103에 정의된 의미가 아닌 UML 용어이다.,,,,,,,,,,,,,
532,속성 <XML>,,,요소가 갖는 이름-값 쌍 ,,attribute <XML>,valid,preferred,,ISO 19136:2007,1,KS X ISO 19136,,,2009-12-29,,,,,,,,,,"비고: 이 문서에서 '속성'은 XML 속성을 의미한다. XML 속성의 문법은 “Attribute::= Name = AttValue”와 같으며, 속성은 XML에서 제어자(modifier)로 사용된다.(예. <Road gml:id = “r1” />;에서 gml:id가 속성임)",,,,,,,,,,,,,,,
24,다중 집합,,,"유한하며 순서가 없는, 반복 가능한 항목(객체 또는 값)의 모음",,bag,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,백,2009-12-29,,,,,,,,,,"비고: 논리적으로 다중 집합은 <항목, 수>쌍의 집합이다.",,,,,,,,,,,,,,,
26,기반 표준,,,하나의 프로파일을 구성하는 데 활용될 수 있는 KS(ISO) 지리 정보 표준 또는 이외의 정보 기술 표준,,base standard,valid,preferred,,ISO 19106:2004,1,KS X ISO 19106,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
658,기본 서비스,,,서비스 또는 응용에 기본 함수를 제공하는 서비스,,basic service,valid,preferred,,ISO 19132:2007,1,KS X ISO 19132,,,2009-12-29,,,,,,,,,,"비고: 기본 서비스는 사용자별 상태 정보와 호출 간의 지속성이 부족하다. 이는 사용자가 기본 서비스에 직접 접근하는 것을 의미하지는 않는다. 기본 서비스는 기능적으로 사용되며, 동일한 인터페이스를 따르는 다른 서비스로 실시간 교체가 가능하다.",,,,,,,,,,,,,,,
27,기본 시험,,,부적합 경우와 적합한 경우를 명확하게 식별하기 위해 실시하는 최초의 기능 시험,,basic test,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,
28,행태 <UML>,,,"연산, 사건 또는 그 결과 값까지 포함하여 관측 가능한 효과",,behaviour <UML>,valid,preferred,,ISO/IEC 19501:2005 (Adapted from),2,KS X ISO 19103,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
29,경계,,,개체의 한계를 표현하는 집합,,boundary,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,비고: 경계는 기하 환경에서 가장 많이 사용된다. 기하는 점 집합체 또는 그 점들을 표현하는 객체 집합체로 구성된다. 다른 측면에서 경계는 어떤 개체와 그 개체를 제외한 논의의 영역 간의 전이역을 기술하기 위하여 은유적 용어로 사용된다.,,,,,,,,,,,,,,,
30,영향 범위,,,지정된 기하 객체로부터 주어진 거리 이내의 모든 직접 위치를 포함하는 기하 객체,,buffer,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,버퍼,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
31,달력,,,일 단위 시간 위치의 정의 근거를 제시하는 불연속 시간 참조 체계,,calendar,valid,preferred,,ISO 19108;2002,1,KS X ISO 19108,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
32,달력 연대,,,기간의 연속을 표현하는 달력의 유형으로 특정 사건으로부터 계산된 기간 표시,,calendar era,valid,preferred,,ISO 19108;2002,1,KS X ISO 19108,,,2007-11-01,,,,,,,,,"보기: 단기 0000년, 서기 0000년",,,,,,,,,,,,,,,,
34,후보 경로,,,라우팅 요청의 제약 조건에 대하여 최적화된 비용 함수를 만족시키는 경로,,candidate route,valid,preferred,,ISO 19133:2005,1,KS X ISO 19133,,,2006-12-01,,,,,,,,,,비고: 내비게이션은 선택된 비용 함수를 최적화하는 후보 경로를 찾는 과정이다.,,,,,,,,,,,,,,,
35,기능 시험,,,시험용 구현(IUT: Implementation under test)이 시험 목적에 기술된 바와 같이 표준 표준의 특정한 특성을 따르는지를 판단하기 위해 설계된 시험,,capability test,valid,preferred,,ISO 19105:2000,1,KS X ISO 19105,,,2007-06-29,,,,,,,,,,,,,,,,,,,,,,,,,
36,관계 수 <UML>,,,집합 내 요소의 수,,cardinality <UML>,valid,preferred,,ISO/IEC 19501:2005 (Adapted from),2,KS X ISO 19103,,,2009-12-29,,,,,,,,,,비고: 반대: 다중성,,,,,,,,,,,,,,,
37,직각 좌표계,,,상호 직교하는 n개의 축을 기준으로 점의 위치를 나타내는 좌표 체계,,Cartesian coordinate system,valid,preferred,Being considered for supersession in ISO 19162 (N3751),"ISO 19111:2007, 4.2",1,ISO 19111:2003,1,,2007-11-01,,2013-07-25,pending,supersession,,,,,,"비고: 본 표준에서 n은 1, 2, 3을 나타낸다.",,,,,,,,,,,,,,,1
39,문자,,,"데이터를 표현, 구성 또는 제어하기 위해 사용되는 요소 집합의 원소",,character,valid,preferred,,ISO/IEC 2382-1:1993,1,"ISO 19118:2011 ,4.2",1,,2008-12-19,,2007-01-23,final,,accepted,2011/10/15,Publication of ISO 19118:2011,Lineage source changed from  ISO 19118:2005 to ISO 19118:2011.,,,,,,,,,,,,,,,,,1
692,자식 요소 <XML>,,,요소의 직접적인 자 요소,,child element <XML>,valid,preferred,,ISO 19136:2007,1,KS X ISO 19136,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
41,순환 연속,,,논리적인 시작점이 존재하지 않기 때문에 어떤 한 점에서 수열을 이동하더라도 항상 동일한 연속; 따라서 연속의 마지막 항목이 첫 항목에 앞서는 것으로 간주됨,,circular sequence,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
506,명시,,,등록물 항목에 대한 설명 ,,clarification,valid,preferred,,ISO 19135:2005,1,KS X ISO 19135,,,2009-12-29,,,,,,,,,,"비고: 명시는 본질적, 기술적 의미를 바꾸지 않는다. 명시로는 등록물 항목의 등록상태가 변경되지 않는다.",,,,,,,,,,,,,,,
43,클래스 <UML>,,,"동일한 속성, 연산, 방법 및 관계와 의미론을 공유하는 객체 집합의 기술",,class <UML>,valid,preferred,,ISO/IEC 19501:2005 (Adapted from),2,KS X ISO 19103,,,2009-12-29,,,,,,,,,,비고: 인터페이스의 집합을 사용하여 연산의 집합을 클래스로 기술할 수 있다.,,,,,,,,,,,,,,,
44,분류자 <UML>,,,행위 및 구조적 특성을 기술하는 메커니즘,,classifier <UML>,valid,preferred,Being considered for supersession in revision of ISO/TS 19103:2005 (ISO/DIS 19103:2013),ISO/IEC 19501,2,"ISO/TS 19103:2005 ,4.2.8",1,,2009-12-29,,2009-08-31,pending,supersession,,,,,,"비고: 분류자에는 인터페이스, 클래스, 데이터 유형, 컴포넌트 등이 포함된다.",,,,,,,,,,,,,,,1
45,클라이언트,,,서버에게 연산을 호출할 수 있는 소프트웨어 컴포넌트,,client,valid,preferred,,ISO 19128:2005,1,KS X ISO 19128,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
46,폐합,,,위상 객체 또는 기하 객체의 내부와 경계의 합집합,,closure,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
47,클러스터,,,그 위치가 소규모 인접군 지역 내에 존재하는 잠재적으로 이질적인(서로 다른 질의 기준을 만족할 수 있는) 대상들의 모음,,cluster,valid,preferred,,ISO 19132:2007,1,KS X ISO 19132,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
48,공유 경계,,,"특정 위상 객체를 구성하는 높은 위상 차원의 위상 원시 객체 집합으로, 이 위상 객체는 위상 원시 객체의 각 경계에 존재함",,coboundary,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,"비고: 만약 절점이 변의 경계에 위치한다면, 변은 절점의 공유 경계에 위치한다. 이러한 관계를 갖는 하나의 방향 매개 변수는 또한 반대의 경우와도 연관된다. 절점이 (양의 방향성 변의 끝으로 정의된) 변의 끝 절점이라면, (양의 방향성 절점으로 정의된) 절점의 양의 방향이 그 공유 경계상의 변을 가질 수 있다(KS X ISO 19107 그림35 참조). ",,,,,,,,,,,,,,,
49,코드,,,특정한 형식에 따른 라벨의 표현,,code,valid,preferred,,"ISO 19118:2011, 4.3",1,ISO 19118:2005,1,,2008-12-30,,2007-01-23,final,,accepted,2011/10/15,Publication of ISO 19118:2011,Authoritative reference changed from ISO 19118:2005 to ISO 19118:2011. Lineage source added as ISO 19118:2005.,,,,,,,,,,,,,,,,,1
50,코드 목록,,,각 코드에 따른 허용 값을 제시하는 값 영역,,codelist,valid,preferred,,ISO 19136:2007,1,KS X ISO 19136,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
51,코드 영역,,,"코드, 이름, 용어, 분류 체계 등에 대한 규정",,codespace,valid,preferred,,ISO 19136:2007,1,KS X ISO 19136,,,2009-12-29,,,,,,,,,"보기: 코드 영역은 사전, 대표 기관, 코드 목록 등을 포함",,,,,,,,,,,,,,,,
52,복합 지형지물,,,다수의 피처들로 구성된 피처,,complex feature,valid,preferred,,ISO 19109:2005,1,KS X ISO 19109,,복합 피처,2006-05-01,,,,,,,,,,,,,,,,,,,,,,,,,
724,컴포넌트 <UML>,,,"내부 구현을 캡슐화하고 인터페이스의 집합을 노출시킨, 적용 및 교체가 가능한 모듈화된 시스템의 한 부분",,component <UML>,valid,preferred,Being considered for supersession in revision of ISO/TS 19103:2005 (ISO/DIS 19103:2013),ISO/IEC 19501,2,"ISO/TS 19103:2005 ,4.2.9",1,,2009-12-29,,2009-08-31,pending,supersession,,,,,,"비고: 컴포넌트는 소프트웨어 코드, 명령 파일 또는 스크립트 등을 포함하는 시스템의 물리적 구현 단위이다.",,,,,,,,,,,,,,,1
55,합성 곡선,,,첫 번째 곡선을 제외한 각각의 곡선이 연속적으로 앞 곡선의 끝점에서 시작되는 곡선의 연속,,composite curve,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,비고: 직접 위치의 집합으로서의 합성 곡선은 곡선의 모든 특성을 갖는다.,,,,,,,,,,,,,,,
56,합성 입방체,,,공유 경계 표면을 따라 서로 연결된 입방체의 집합,,composite solid,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,비고: 직접 위치의 집합으로서의 합성 입방체는 입방체의 모든 특성을 갖는다.,,,,,,,,,,,,,,,
57,합성 표면,,,공유 경계 곡선을 따라 서로 연결된 표면의 집합,,composite surface,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,비고: 직접위치의 집합으로서의 합성 표면은 표면의 모든 특성을 갖는다.,,,,,,,,,,,,,,,
725,합성 <UML>,,,"부분 인스턴스는 동시에 하나의 합성에 포함되며, 합성 객체가 부분들의 생성, 제거에 대한 책임을 갖는 집합 연관의 형태",,composition <UML>,valid,preferred,Being considered for supersession in revision of ISO/TS 19103:2005 (ISO/DIS 19103:2013),ISO/IEC 19501,2,"ISO/TS 19103:2005 ,4.2.10",1,,2009-12-29,,2009-08-31,pending,supersession,,,,,,"비고: 합성 이후 정해지지 않은 다중성이 추가 생성될 수 있지만, 한번 생성된 부분들은 합성과 생명 주기를 같이한다. 물론 이러한 부분들은 합성 연관이 해체되기 전, 명시적으로 제거할 수 있다. 합성은 순환적일 수 있다. 동의어: 합성 연관",,,,,,,,,,,,,,,1
702,합성 좌표 참조 체계,,,최소 두 개의 독립된 좌표 참조 체계를 사용하는 좌표 참조 체계,,compound coordinate reference system,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,"비고: 하나의 좌표 참조 체계의 좌표 값이 다른 좌표 참조 체계의 좌표 값으로 전환될 수 없다면, 이들 좌표 참조 체계는 서로 독립적이다.  ",,,,,,,,,,,,,,,
61,계산 기하,,,기하 연산을 구현하기 위한 기하 표현의 계산과 조작,,computational geometry,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,"보기: 계산 기하 연산은 기하의 포함 또는 교차에 대한 검수와 볼록 외곽 또는 버퍼구역의 계산, 기하 객체 간의 최단 거리 검색 등을 포함한다.",,,,,,,,,,,,,,,,
62,계산 위상,,,"계산 기하에서 위상 객체에 대하여 일반적으로 수행되는 위상 개념, 구조, 대수 및 부가적 확장 또는 정의 연산",,computational topology,valid,preferred,,ISO 19107:2003,1,KS X ISO 19107,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
63,계산 관점,,,시스템을 인터페이스를 통해 상호 작용하는 기능적 객체들로 분해함으로써 분산 처리를 가능하게 하는 개방형 시스템 및 그 환경에 대한 관점,,computational viewpoint,valid,preferred,,ISO/IEC 10746-3:1996,2,KS X ISO 19119,,,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
600,연쇄 연산,,,다수의 좌표 연산을 순차적으로 수행하는 응용으로 구성된 좌표 연산,,concatenated operation,valid,preferred,,ISO 19111:2007,1,KS X ISO 19111,,,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,
67,개념적 형식,,,개념적 모델을 기술하기 위해 사용된 모델링 개념의 집합,,conceptual formalism,valid,preferred,,"ISO 19101-1:2014, 4.1.4",1,ISO 19101:2002,1,,2008-12-30,,2010-10-12,final,,accepted,2014/11/01,Publication of ISO 19101-1:2014,Authoritative reference changed from ISO 19101:2002 to ISO 19101-1:2014. Lineage source added as ISO 19101:2002.,"보기: UML 메타모델, EXPRESS 메타모델 ",비고: 한 개의 개념 형식은 복수의 개념적 스키마 언어로 표현될 수 있다.,,,,,,,,,,,,,,,1
68,개념적 모델,,,논의의 영역의 개념을 정의한 모델,,conceptual model,valid,preferred,,"ISO 19101-1:2014, 4.1.5",1,ISO 19101:2002,1,,2008-12-30,,2010-10-12,final,,accepted,2014/11/01,Publication of ISO 19101-1:2014,Authoritative reference changed from ISO 19101:2002 to ISO 19101-1:2014. Lineage source added as ISO 19101:2002.,,,,,,,,,,,,,,,,,1
69,개념적 스키마,,,개념적 모델의 정형화된 기술,,conceptual schema,valid,preferred,,"ISO 19101-1:2014, 4.1.6",1,ISO 19101:2002,1,,2008-12-30,,2010-10-12,final,,accepted,2014/11/01,Publication of ISO 19101-1:2014,Authoritative reference changed from ISO 19101:2002 to ISO 19101-1:2014. Lineage source added as ISO 19101:2002.,,,,,,,,,,,,,,,,,1
